Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-03-31 17:07:58,false,"Germantown Cycling","26.52","1,310","01:39:56","146","169","15.9","30.2","627","663","0.00","0.0","0.0","0.0","0.0","0.0","0:00","48.2","0:00","No","01:39:55.84","1","0.0","01:39:13","01:45:58","287","427"
Cycling,2021-03-29 16:52:14,false,"Germantown Cycling","23.28","1,093","01:29:20","142","165","15.6","29.6","525","518","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:29:20.05","1","0.0","01:28:23","01:33:26","236","337"
Cycling,2021-03-28 10:34:08,false,"Germantown Cycling","39.03","1,954","02:28:09","149","165","15.8","31.1","1,234","1,293","0.00","0.0","0.0","0.0","0.0","0.0","0:00","55.4","0:00","No","02:28:09.20","1","0.0","02:26:51","02:35:05","272","470"
Cycling,2021-03-22 16:30:21,false,"Germantown Cycling","28.05","1,473","01:46:49","149","170","15.8","35.0","712","735","0.00","0.0","0.0","0.0","0.0","0.0","0:00","62.6","0:00","No","01:46:49.28","1","0.0","01:45:45","01:54:33","227","343"
Cycling,2021-03-20 09:40:52,false,"Germantown Cycling","43.43","2,512","02:55:20","148","166","14.9","31.2","1,276","1,273","0.00","0.0","0.0","0.0","0.0","0.0","0:00","44.6","0:00","No","02:55:19.64","1","0.0","02:54:16","03:22:28","240","448"
Cycling,2021-03-11 16:32:56,false,"Germantown Cycling","22.02","997","01:25:52","135","151","15.4","30.8","482","512","0.00","0.0","0.0","0.0","0.0","0.0","0:00","66.2","0:00","No","01:25:51.50","1","0.0","01:25:12","01:33:53","314","426"
Cycling,2021-03-10 16:12:30,false,"Germantown Cycling","28.14","1,380","01:46:29","144","162","15.9","36.8","705","728","0.00","0.0","0.0","0.0","0.0","0.0","0:00","64.4","0:00","No","01:46:28.98","1","0.0","01:45:21","01:55:00","238","337"
Cycling,2021-03-09 16:44:18,false,"Germantown Cycling","23.25","1,274","01:26:43","153","174","16.1","33.2","518","535","0.00","0.0","0.0","0.0","0.0","0.0","0:00","59.0","0:00","No","01:26:42.64","1","0.0","01:25:52","01:33:06","268","374"
Cycling,2021-03-06 09:47:50,false,"Germantown Cycling","51.19","2,471","03:21:38","141","157","15.2","35.8","1,759","1,759","0.00","0.0","0.0","0.0","0.0","0.0","0:00","48.2","0:00","No","03:21:38.42","1","0.0","03:19:25","03:43:15","277","620"
Cycling,2021-03-04 15:49:39,false,"Germantown Cycling","28.05","1,458","01:43:55","150","166","16.2","35.0","679","699","0.00","0.0","0.0","0.0","0.0","0.0","0:00","60.8","0:00","No","01:43:54.54","1","0.0","01:42:34","01:58:37","274","377"
